iter	Passed	Remaining
0	1	1590
1	3	1524
2	4	1467
3	5	1466
4	7	1437
5	8	1418
6	9	1417
7	11	1431
8	13	1487
9	15	1495
10	16	1497
11	18	1514
12	20	1519
13	21	1507
14	22	1493
15	24	1483
16	25	1471
17	27	1475
18	28	1471
19	29	1463
20	31	1453
21	32	1446
22	34	1448
23	35	1441
24	36	1434
25	38	1429
26	39	1424
27	40	1422
28	42	1411
29	43	1422
30	45	1421
31	46	1421
32	48	1416
33	49	1416
34	51	1414
35	52	1416
36	54	1412
37	55	1412
38	57	1415
39	58	1408
40	60	1406
41	61	1406
42	63	1405
43	64	1403
44	66	1404
45	67	1403
46	69	1402
47	70	1407
48	72	1407
49	74	1411
50	76	1419
51	77	1417
52	79	1416
53	80	1414
54	82	1410
55	83	1406
56	84	1402
57	86	1401
58	87	1391
59	88	1389
60	90	1386
61	91	1382
62	92	1378
63	94	1374
64	95	1372
65	96	1367
66	97	1364
67	99	1363
68	100	1362
69	102	1360
70	103	1358
71	105	1361
72	107	1362
73	108	1363
74	110	1361
75	111	1361
76	113	1361
77	115	1361
78	116	1359
79	118	1358
80	119	1358
81	121	1356
82	122	1354
83	124	1352
84	125	1350
85	126	1349
86	128	1347
87	130	1347
88	131	1348
89	133	1347
90	134	1345
91	136	1347
92	138	1346
93	139	1345
94	140	1342
95	142	1340
96	143	1340
97	144	1332
98	146	1330
99	147	1328
100	148	1325
101	150	1320
102	151	1318
103	152	1315
104	154	1312
105	155	1310
106	156	1307
107	157	1304
108	159	1304
109	160	1302
110	162	1301
111	164	1300
112	165	1298
113	166	1297
114	168	1298
115	170	1297
116	171	1296
117	173	1295
118	175	1296
119	176	1295
120	178	1294
121	179	1292
122	181	1291
123	182	1290
124	184	1289
125	185	1287
126	186	1285
127	188	1282
128	189	1281
129	191	1278
130	192	1277
131	193	1274
132	195	1272
133	196	1269
134	197	1268
135	199	1268
136	201	1266
137	202	1264
138	203	1261
139	204	1259
140	206	1257
141	207	1256
142	209	1253
143	210	1252
144	212	1251
145	213	1250
146	215	1249
147	216	1247
148	218	1246
149	219	1244
150	221	1244
151	222	1242
152	224	1240
153	225	1238
154	226	1237
155	227	1232
156	229	1230
157	231	1231
158	232	1230
159	234	1229
160	235	1227
161	236	1225
162	238	1224
163	239	1222
164	241	1220
165	242	1218
166	243	1216
167	245	1215
168	246	1212
169	247	1210
170	249	1209
171	251	1208
172	252	1208
173	254	1207
174	255	1206
175	257	1204
176	258	1203
177	260	1202
178	262	1204
179	264	1203
180	265	1201
181	266	1199
182	268	1199
183	269	1197
